"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-24,NA
2,2,2,2020-03-25,NA
3,3,3,2020-03-26,NA
1,1,1,2020-03-27,NA
2,2,2,2020-03-28,1
2,2,2,2020-03-29,2
3,3,3,2020-03-30,3
0,0,0,2020-03-31,1
2,2,2,2020-04-01,2
2,2,2,2020-04-02,2
2,2,2,2020-04-03,3
5,5,5,2020-04-04,NA
0,0,0,2020-04-05,2
3,3,3,2020-04-06,2
2,2,2,2020-04-07,2
5,5,5,2020-04-08,5
2,2,2,2020-04-09,NA
3,3,4,2020-04-10,3
2,2,3,2020-04-11,2
2,2,3,2020-04-12,5
1,1,2,2020-04-13,2
3,3,4,2020-04-14,3
3,3,4,2020-04-15,2
5,5,6,2020-04-16,2
2,2,4,2020-04-17,1
0,0,2,2020-04-18,3
4,4,6,2020-04-19,3
6,6,8,2020-04-20,5
3,3,5,2020-04-21,2
4,4,6,2020-04-22,NA
2,2,4,2020-04-23,4
1,1,3,2020-04-24,6
3,3,5,2020-04-25,3
0,0,2,2020-04-26,4
0,0,2,2020-04-27,2
1,1,4,2020-04-28,1
1,0,3,2020-04-29,3
1,0,3,2020-04-30,NA
1,0,3,2020-05-01,NA
1,0,4,2020-05-02,1
