"estimate","lower","upper","onset_date","n.reported"
14,14,14,2020-03-24,14
8,8,8,2020-03-25,8
23,23,23,2020-03-26,23
11,11,11,2020-03-27,11
15,15,15,2020-03-28,15
20,20,20,2020-03-29,20
18,18,20,2020-03-30,18
23,23,25,2020-03-31,23
24,24,26,2020-04-01,24
20,20,22,2020-04-02,20
18,18,21,2020-04-03,18
16,15,18,2020-04-04,15
22,21,26,2020-04-05,21
25,23,30,2020-04-06,23
28,25,32,2020-04-07,25
27,23,32,2020-04-08,23
26,23,32,2020-04-09,22
21,18,27,2020-04-10,17
21,17,27,2020-04-11,16
23,19,29,2020-04-12,17
33,28,40,2020-04-13,26
25,20,32,2020-04-14,17
34,28,41.0249999999996,2020-04-15,25
32,26,41,2020-04-16,23
24,18,32,2020-04-17,14
24,18,33,2020-04-18,13
34,26,43,2020-04-19,20
36,29,47,2020-04-20,21
40,32,51,2020-04-21,23
37,28,49,2020-04-22,18
38,29,51,2020-04-23,18
40,30,53,2020-04-24,18
33,23,47,2020-04-25,9
47.5,35,63.0249999999996,2020-04-26,19
56,42,74,2020-04-27,23
46,32,64,2020-04-28,12
48,33,67,2020-04-29,10
53,37,76,2020-04-30,13
45,28,70,2020-05-01,4
51,32,80,2020-05-02,6
