"estimate","lower","upper","onset_date","n.reported"
191,191,191,2020-03-23,191
148,147,152,2020-03-24,147
168,164,174,2020-03-25,164
152,148,159,2020-03-26,147
157,152,165,2020-03-27,149
146,140,154,2020-03-28,137
153,147,162,2020-03-29,142
150,143,159,2020-03-30,136
156,148,166,2020-03-31,140
197,188,208,2020-04-01,176
133,125,144,2020-04-02,115
174,164,186,2020-04-03,151
152,143,164,2020-04-04,129
151,142,164,2020-04-05,127
148,138,161,2020-04-06,122
153,142,166,2020-04-07,124
156,144,170,2020-04-08,124
152,141,167,2020-04-09,118
180,167,196,2020-04-10,139
138,125,153,2020-04-11,99
171,156,188,2020-04-12,124
163,148,181,2020-04-13,112
196,179,217,2020-04-14,132
186,167,207,2020-04-15,116
189,169,212,2020-04-16,109
195,172,220,2020-04-17,102
214,188,244,2020-04-18,101
266,233,302,2020-04-19,113
345,304,394,2020-04-20,140
256,216,302,2020-04-21,73
339,291,396,2020-04-22,95
374,316,439,2020-04-23,82
448,377,530,2020-04-24,81
494,408,594,2020-04-25,62
566,460,701,2020-04-26,44
775,611.975,979,2020-04-27,45
914,687.975,1207,2020-04-28,28
1027,733.975,1472.025,2020-04-29,21
947,618.975,1472,2020-04-30,3
929,545,1583,2020-05-01,NA
