"dt_evoluca","n.casos"
2020-01-10,1
2020-01-28,1
2020-02-27,1
2020-02-28,1
2020-03-05,1
2020-03-11,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,4
2020-03-25,3
2020-03-26,3
2020-03-27,2
2020-03-30,3
2020-03-31,3
2020-04-01,2
2020-04-02,3
2020-04-03,3
2020-04-05,3
2020-04-06,3
2020-04-07,3
2020-04-08,2
2020-04-09,2
2020-04-10,3
2020-04-11,1
2020-04-12,1
2020-04-13,2
2020-04-15,2
2020-04-16,2
2020-04-17,2
2020-04-18,2
2020-04-20,1
2020-04-21,2
2020-04-22,1
2020-04-23,2
2020-04-24,1
2020-04-26,2
2020-04-28,1
2020-04-29,1
2020-05-02,1
