"dt_notific","n.notific"
2020-01-08,1
2020-01-22,1
2020-01-31,1
2020-02-27,1
2020-03-05,1
2020-03-08,1
2020-03-17,2
2020-03-19,1
2020-03-20,1
2020-03-21,4
2020-03-22,1
2020-03-23,2
2020-03-24,6
2020-03-25,4
2020-03-26,3
2020-03-27,2
2020-03-28,1
2020-03-30,3
2020-03-31,4
2020-04-01,2
2020-04-02,3
2020-04-03,2
2020-04-05,2
2020-04-06,5
2020-04-07,1
2020-04-08,1
2020-04-09,2
2020-04-10,3
2020-04-12,2
2020-04-13,1
2020-04-15,2
2020-04-16,2
2020-04-18,1
2020-04-20,1
2020-04-21,1
2020-04-23,1
2020-04-24,1
2020-04-26,1
2020-04-27,1
2020-04-29,1
2020-05-01,1
