"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-14,NA
2,2,3,2020-03-15,NA
1,1,2,2020-03-16,1
1,1,2,2020-03-17,2
1,1,3,2020-03-18,1
5,5,7,2020-03-19,1
2,2,4,2020-03-20,1
1,1,3,2020-03-21,5
3,3,5,2020-03-22,2
0,0,2,2020-03-23,1
1,1,3,2020-03-24,3
0,0,2,2020-03-25,NA
1,1,3,2020-03-26,1
0,0,2,2020-03-27,NA
2,2,4,2020-03-28,1
1,1,3,2020-03-29,NA
1,1,3,2020-03-30,2
1,1,3,2020-03-31,1
3,3,5,2020-04-01,1
2,2,4,2020-04-02,1
5,5,7,2020-04-03,3
0,0,2,2020-04-04,2
1,1,3,2020-04-05,5
2,2,5,2020-04-06,NA
0,0,3,2020-04-07,1
2,2,5,2020-04-08,2
0,0,3,2020-04-09,NA
3,2,5,2020-04-10,2
2,1,5,2020-04-11,NA
2,1,5,2020-04-12,2
3,2,6,2020-04-13,1
1,0,4,2020-04-14,1
2,1,5,2020-04-15,2
1,0,5,2020-04-16,NA
1,0,5,2020-04-17,1
2,0,6,2020-04-18,NA
2,0,6,2020-04-19,NA
2,0,6,2020-04-20,NA
2,0,6,2020-04-21,NA
2,0,7,2020-04-22,NA
