"estimate","lower","upper","onset_date","n.reported"
4,4,4,2020-03-24,4
3,3,3,2020-03-25,3
3,3,3,2020-03-26,3
2,2,2,2020-03-27,2
0,0,0,2020-03-28,NA
0,0,0,2020-03-29,NA
3,3,3,2020-03-30,3
3,3,3,2020-03-31,3
2,2,2,2020-04-01,2
3,3,4,2020-04-02,3
2,2,3,2020-04-03,2
0,0,1,2020-04-04,NA
2,2,4,2020-04-05,2
3,3,5,2020-04-06,3
3,3,5,2020-04-07,3
2,2,4,2020-04-08,2
2,2,4,2020-04-09,2
2,2,4,2020-04-10,2
1,1,3,2020-04-11,1
1,1,3,2020-04-12,1
2,2,4,2020-04-13,2
0,0,2,2020-04-14,NA
2,2,4,2020-04-15,2
2,2,4,2020-04-16,2
2,2,5,2020-04-17,2
2,2,5,2020-04-18,2
0,0,3,2020-04-19,NA
2,1,4,2020-04-20,1
3,2,6,2020-04-21,2
2,1,5,2020-04-22,1
3,2,6,2020-04-23,2
2,1,5,2020-04-24,1
1,0,4,2020-04-25,NA
3,2,6,2020-04-26,2
1,0,5,2020-04-27,NA
2,1,6,2020-04-28,1
2,1,6,2020-04-29,1
1,0,5,2020-04-30,NA
2,0,5,2020-05-01,NA
3,1,7,2020-05-02,1
