"estimate","lower","upper","onset_date","n.reported"
28,28,28,2020-03-23,28
25,25,26,2020-03-24,25
29,29,31,2020-03-25,29
39,39,41,2020-03-26,39
19,19,21,2020-03-27,19
17,17,19,2020-03-28,17
28,28,31,2020-03-29,28
19,19,22,2020-03-30,19
25,24,27,2020-03-31,24
35,34,38,2020-04-01,34
32,31,36,2020-04-02,31
24,23,28,2020-04-03,23
28,26,31,2020-04-04,26
29,27,32,2020-04-05,27
27,25,30,2020-04-06,25
16,14,19,2020-04-07,14
21,19,24,2020-04-08,19
17,15,20,2020-04-09,15
23,21,26,2020-04-10,21
18,16,22,2020-04-11,16
18,15,22,2020-04-12,15
21,18,26,2020-04-13,18
25,21,29,2020-04-14,21
27,24,32,2020-04-15,23
22,18,27,2020-04-16,17
19,15,25,2020-04-17,14
19,15,25,2020-04-18,13
21,17,28,2020-04-19,14
31,26,38,2020-04-20,22
23,17,30,2020-04-21,13
22,15,30,2020-04-22,10
36,28,45,2020-04-23,21
35,27,46,2020-04-24,18
32,22,44,2020-04-25,12
31,21,44,2020-04-26,9
27,16,41,2020-04-27,4
28,17,44,2020-04-28,3
29,17,47,2020-04-29,2
28,15,49,2020-04-30,NA
29,14,50,2020-05-01,NA
