"dt_sin_pri","n.casos"
2020-03-04,1
2020-03-05,1
2020-03-10,1
2020-03-12,2
2020-03-13,2
2020-03-14,2
2020-03-15,1
2020-03-16,2
2020-03-17,3
2020-03-18,3
2020-03-19,2
2020-03-20,4
2020-03-21,1
2020-03-22,2
2020-03-23,9
2020-03-24,9
2020-03-25,7
2020-03-26,11
2020-03-27,3
2020-03-28,4
2020-03-29,6
2020-03-30,5
2020-03-31,6
2020-04-01,9
2020-04-02,5
2020-04-03,3
2020-04-04,2
2020-04-05,4
2020-04-06,5
2020-04-07,2
2020-04-08,3
2020-04-09,6
2020-04-10,5
2020-04-11,5
2020-04-12,4
2020-04-13,3
2020-04-14,2
2020-04-15,1
2020-04-16,2
2020-04-17,4
2020-04-19,3
2020-04-20,1
2020-04-21,1
2020-04-22,4
2020-04-23,5
2020-04-24,2
2020-04-25,1
2020-04-27,2
2020-04-29,3
