"dt_sin_pri","n.casos"
2020-01-03,1
2020-01-05,1
2020-01-06,1
2020-01-15,2
2020-01-16,2
2020-01-17,1
2020-01-21,1
2020-01-29,1
2020-02-01,1
2020-02-02,1
2020-02-11,1
2020-02-12,1
2020-02-15,2
2020-02-20,4
2020-02-21,3
2020-02-22,2
2020-02-24,2
2020-02-25,3
2020-02-26,4
2020-02-27,4
2020-02-28,2
2020-03-01,3
2020-03-02,5
2020-03-03,2
2020-03-04,3
2020-03-05,2
2020-03-06,3
2020-03-07,3
2020-03-08,6
2020-03-09,3
2020-03-10,9
2020-03-11,14
2020-03-12,10
2020-03-13,16
2020-03-14,14
2020-03-15,19
2020-03-16,15
2020-03-17,18
2020-03-18,17
2020-03-19,10
2020-03-20,20
2020-03-21,18
2020-03-22,22
2020-03-23,26
2020-03-24,28
2020-03-25,17
2020-03-26,30
2020-03-27,14
2020-03-28,23
2020-03-29,16
2020-03-30,28
2020-03-31,22
2020-04-01,31
2020-04-02,19
2020-04-03,24
2020-04-04,18
2020-04-05,20
2020-04-06,25
2020-04-07,21
2020-04-08,17
2020-04-09,15
2020-04-10,22
2020-04-11,17
2020-04-12,17
2020-04-13,14
2020-04-14,17
2020-04-15,11
2020-04-16,21
2020-04-17,12
2020-04-18,18
2020-04-19,19
2020-04-20,17
2020-04-21,12
2020-04-22,10
2020-04-23,15
2020-04-24,10
2020-04-25,10
2020-04-26,10
2020-04-27,6
2020-04-28,4
2020-04-29,9
2020-04-30,1
2020-05-01,1
2020-05-03,1
