"dt_notific","n.notific"
2020-01-07,1
2020-01-08,1
2020-01-16,1
2020-01-17,1
2020-01-20,1
2020-01-21,2
2020-01-22,2
2020-02-02,1
2020-02-07,2
2020-02-15,1
2020-02-16,1
2020-02-22,1
2020-02-23,2
2020-02-24,1
2020-02-26,4
2020-02-27,2
2020-02-29,2
2020-03-02,2
2020-03-03,7
2020-03-04,1
2020-03-05,3
2020-03-07,2
2020-03-09,4
2020-03-10,2
2020-03-11,6
2020-03-12,4
2020-03-13,4
2020-03-14,7
2020-03-15,7
2020-03-16,17
2020-03-17,9
2020-03-18,20
2020-03-19,11
2020-03-20,16
2020-03-21,13
2020-03-22,5
2020-03-23,18
2020-03-24,13
2020-03-25,23
2020-03-26,23
2020-03-27,19
2020-03-28,17
2020-03-29,19
2020-03-30,22
2020-03-31,19
2020-04-01,29
2020-04-02,24
2020-04-03,22
2020-04-04,17
2020-04-05,12
2020-04-06,28
2020-04-07,23
2020-04-08,26
2020-04-09,22
2020-04-10,7
2020-04-11,20
2020-04-12,5
2020-04-13,29
2020-04-14,29
2020-04-15,21
2020-04-16,21
2020-04-17,26
2020-04-18,8
2020-04-19,6
2020-04-20,34
2020-04-21,9
2020-04-22,29
2020-04-23,12
2020-04-24,23
2020-04-25,7
2020-04-26,11
2020-04-27,18
2020-04-28,21
2020-04-29,22
2020-04-30,23
2020-05-01,8
2020-05-02,2
2020-05-03,4
2020-05-04,3
