"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-19,1
4,4,5,2020-03-20,4
1,1,2,2020-03-21,1
2,2,3,2020-03-22,2
8,8,10,2020-03-23,8
9,9,11,2020-03-24,9
7,7,9,2020-03-25,7
10,10,12,2020-03-26,10
2,2,4,2020-03-27,2
4,4,6,2020-03-28,4
4,4,7,2020-03-29,4
6,5,8,2020-03-30,5
7,6,9,2020-03-31,6
8,7,11,2020-04-01,7
5,4,7,2020-04-02,4
4,3,7,2020-04-03,3
3,2,6,2020-04-04,2
5,4,8,2020-04-05,4
6,5,9,2020-04-06,5
3,2,6.02499999999964,2020-04-07,2
3,2,7,2020-04-08,2
7,5,10,2020-04-09,5
5,3,9,2020-04-10,3
6,4,10,2020-04-11,4
5,3,9,2020-04-12,3
5,3,9,2020-04-13,3
4,2,9,2020-04-14,2
3,1,8,2020-04-15,1
3,0,7,2020-04-16,NA
6,3,11,2020-04-17,3
3,0,8,2020-04-18,NA
3,0,9,2020-04-19,NA
4,0,9,2020-04-20,NA
4,0,11,2020-04-21,NA
5,2,13,2020-04-22,1
6,2,17,2020-04-23,1
5,1,18,2020-04-24,NA
5,1,20,2020-04-25,NA
5,1,19,2020-04-26,NA
6,2,22.0249999999996,2020-04-27,1
