"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-24,1
1,1,1,2020-03-25,1
2,2,2,2020-03-26,2
4,4,4,2020-03-27,4
3,3,3,2020-03-28,3
1,1,1,2020-03-29,1
2,2,2,2020-03-30,2
0,0,0,2020-03-31,NA
0,0,0,2020-04-01,NA
2,2,2,2020-04-02,2
2,2,2,2020-04-03,2
4,4,4,2020-04-04,4
1,1,1,2020-04-05,1
1,1,1,2020-04-06,1
1,1,1,2020-04-07,1
5,5,5,2020-04-08,5
0,0,0,2020-04-09,NA
0,0,0,2020-04-10,NA
1,1,1,2020-04-11,1
2,2,2,2020-04-12,2
2,2,2,2020-04-13,2
1,1,2,2020-04-14,1
1,1,2,2020-04-15,1
1,1,2,2020-04-16,1
1,1,2,2020-04-17,1
0,0,1,2020-04-18,NA
0,0,1,2020-04-19,NA
3,3,4,2020-04-20,3
1,1,3,2020-04-21,1
2,2,4,2020-04-22,2
1,1,3,2020-04-23,1
3,3,5,2020-04-24,3
0,0,2,2020-04-25,NA
1,1,3,2020-04-26,1
1,1,3,2020-04-27,1
1,1,3,2020-04-28,1
0,0,3,2020-04-29,NA
1,0,3,2020-04-30,NA
2,1,4,2020-05-01,1
2,1,5,2020-05-02,1
