"estimate","lower","upper","onset_date","n.reported"
26,26,26,2020-03-23,26
28,28,30,2020-03-24,28
18,17,21,2020-03-25,17
31,30,34,2020-03-26,30
15,14,18,2020-03-27,14
24,23,27,2020-03-28,23
16,15,20,2020-03-29,15
29,28,33,2020-03-30,28
24,22,27,2020-03-31,22
33,31,36,2020-04-01,31
21,19,25,2020-04-02,19
26,24,30,2020-04-03,24
21,18,25,2020-04-04,18
23,20,27,2020-04-05,20
28,25,32,2020-04-06,25
24,21,29,2020-04-07,21
20,17,25,2020-04-08,17
18,15,23,2020-04-09,15
26,23,31,2020-04-10,22
21,18,27,2020-04-11,17
22,18,27,2020-04-12,17
19,15,25,2020-04-13,14
22,18,28,2020-04-14,17
17,13,23,2020-04-15,11
24,20,31,2020-04-16,18
18,13,24,2020-04-17,11
25,20,31,2020-04-18,17
27,21,34,2020-04-19,18
23,17,30,2020-04-20,13
22,16,30,2020-04-21,11
19.5,13,28,2020-04-22,7
25,18,35,2020-04-23,11
26,18,36,2020-04-24,9
25,16,36,2020-04-25,6
28,18,40,2020-04-26,7
24,15,38,2020-04-27,2
26,16,42,2020-04-28,2
30,19,48,2020-04-29,5
26,15,45,2020-04-30,NA
26,15,45,2020-05-01,NA
