"dt_evoluca","n.casos"
2020-01-09,1
2020-01-10,1
2020-02-09,1
2020-02-26,1
2020-03-05,1
2020-03-09,1
2020-03-13,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-20,2
2020-03-23,1
2020-03-24,1
2020-03-26,1
2020-03-27,1
2020-03-30,1
2020-04-01,1
2020-04-02,2
2020-04-03,2
2020-04-05,3
2020-04-06,2
2020-04-07,2
2020-04-08,1
2020-04-09,1
2020-04-10,1
2020-04-11,2
2020-04-13,3
2020-04-14,2
2020-04-15,4
2020-04-16,3
2020-04-17,2
2020-04-18,2
2020-04-19,3
2020-04-20,5
2020-04-21,3
2020-04-22,4
2020-04-23,4
2020-04-24,2
2020-04-25,3
2020-04-26,3
2020-04-27,7
2020-04-28,2
2020-04-29,2
2020-04-30,2
2020-05-01,1
2020-05-02,3
2020-05-03,2
2020-05-04,1
