"dt_sin_pri","n.casos"
2019-12-29,2
2019-12-30,1
2020-01-01,3
2020-01-02,2
2020-01-03,1
2020-01-05,3
2020-01-06,3
2020-01-07,1
2020-01-10,3
2020-01-11,2
2020-01-14,3
2020-01-15,1
2020-01-16,3
2020-01-17,3
2020-01-18,2
2020-01-19,1
2020-01-20,2
2020-01-21,2
2020-01-22,1
2020-01-23,2
2020-01-25,2
2020-01-26,2
2020-01-27,2
2020-01-29,1
2020-01-30,1
2020-02-02,1
2020-02-03,2
2020-02-04,3
2020-02-05,3
2020-02-07,5
2020-02-08,1
2020-02-09,2
2020-02-10,1
2020-02-12,1
2020-02-13,2
2020-02-14,4
2020-02-15,1
2020-02-16,2
2020-02-17,1
2020-02-18,3
2020-02-19,4
2020-02-20,2
2020-02-21,6
2020-02-22,1
2020-02-23,2
2020-02-24,1
2020-02-25,5
2020-02-26,1
2020-02-27,7
2020-02-28,5
2020-02-29,4
2020-03-01,2
2020-03-02,4
2020-03-03,6
2020-03-04,2
2020-03-05,7
2020-03-06,3
2020-03-07,4
2020-03-09,4
2020-03-10,6
2020-03-11,3
2020-03-12,8
2020-03-13,8
2020-03-14,9
2020-03-15,13
2020-03-16,14
2020-03-17,9
2020-03-18,9
2020-03-19,8
2020-03-20,18
2020-03-21,7
2020-03-22,11
2020-03-23,16
2020-03-24,6
2020-03-25,7
2020-03-26,16
2020-03-27,7
2020-03-28,9
2020-03-29,6
2020-03-30,15
2020-03-31,10
2020-04-01,23
2020-04-02,16
2020-04-03,15
2020-04-04,4
2020-04-05,13
2020-04-06,13
2020-04-07,15
2020-04-08,24
2020-04-09,24
2020-04-10,34
2020-04-11,25
2020-04-12,35
2020-04-13,31
2020-04-14,46
2020-04-15,35
2020-04-16,40
2020-04-17,41
2020-04-18,41
2020-04-19,35
2020-04-20,51
2020-04-21,29
2020-04-22,34
2020-04-23,36
2020-04-24,39
2020-04-25,21
2020-04-26,31
2020-04-27,12
2020-04-28,21
2020-04-29,8
2020-04-30,13
2020-05-01,1
2020-05-02,2
2020-05-03,1
