"dt_notific","n.notific"
2020-01-08,1
2020-01-09,1
2020-01-27,1
2020-02-27,2
2020-02-28,2
2020-03-11,2
2020-03-13,1
2020-03-16,1
2020-03-20,2
2020-03-21,1
2020-03-23,1
2020-03-24,1
2020-03-28,1
2020-03-30,1
2020-03-31,4
2020-04-01,3
2020-04-02,1
2020-04-03,2
2020-04-04,1
2020-04-05,1
2020-04-06,2
2020-04-07,5
2020-04-08,1
2020-04-09,2
2020-04-11,1
2020-04-12,3
2020-04-13,3
2020-04-14,3
2020-04-15,3
2020-04-16,5
2020-04-17,1
2020-04-18,2
2020-04-19,3
2020-04-20,4
2020-04-21,3
2020-04-22,5
2020-04-23,3
2020-04-24,4
2020-04-25,3
2020-04-26,3
2020-04-27,4
2020-04-28,1
2020-04-30,2
2020-05-02,1
