"dt_notific","n.notific"
2020-01-03,3
2020-01-05,1
2020-01-08,5
2020-01-09,1
2020-01-10,3
2020-01-13,1
2020-01-14,1
2020-01-15,2
2020-01-16,1
2020-01-17,1
2020-01-18,2
2020-01-19,1
2020-01-20,1
2020-01-21,5
2020-01-22,4
2020-01-24,1
2020-01-25,1
2020-01-26,1
2020-01-27,2
2020-01-29,3
2020-01-30,1
2020-01-31,2
2020-02-01,2
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-06,3
2020-02-07,2
2020-02-08,1
2020-02-09,2
2020-02-10,2
2020-02-11,2
2020-02-12,3
2020-02-14,2
2020-02-15,3
2020-02-17,1
2020-02-18,3
2020-02-19,1
2020-02-20,2
2020-02-21,1
2020-02-23,5
2020-02-24,2
2020-02-25,2
2020-02-26,1
2020-02-27,3
2020-02-28,6
2020-02-29,3
2020-03-01,2
2020-03-03,4
2020-03-04,1
2020-03-05,1
2020-03-06,7
2020-03-07,1
2020-03-08,1
2020-03-09,5
2020-03-10,6
2020-03-11,4
2020-03-12,3
2020-03-13,8
2020-03-14,1
2020-03-16,6
2020-03-17,12
2020-03-18,6
2020-03-19,9
2020-03-20,9
2020-03-21,11
2020-03-22,8
2020-03-23,18
2020-03-24,14
2020-03-25,9
2020-03-26,8
2020-03-27,5
2020-03-28,6
2020-03-29,5
2020-03-30,25
2020-03-31,10
2020-04-01,10
2020-04-02,6
2020-04-03,9
2020-04-04,12
2020-04-05,11
2020-04-06,9
2020-04-07,21
2020-04-08,18
2020-04-09,12
2020-04-10,13
2020-04-11,13
2020-04-12,11
2020-04-13,22
2020-04-14,23
2020-04-15,32
2020-04-16,36
2020-04-17,32
2020-04-18,30
2020-04-19,16
2020-04-20,37
2020-04-21,22
2020-04-22,50
2020-04-23,49
2020-04-24,38
2020-04-25,28
2020-04-26,36
2020-04-27,47
2020-04-28,58
2020-04-29,45
2020-04-30,51
2020-05-01,28
2020-05-02,34
2020-05-03,9
2020-05-04,4
