"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-15,NA
1,1,1,2020-03-16,NA
1,1,1,2020-03-17,NA
2,2,3,2020-03-18,NA
1,1,2,2020-03-19,NA
0,0,1,2020-03-20,1
3,3,4,2020-03-21,1
1,1,3,2020-03-22,1
3,3,5,2020-03-23,2
1,1,3,2020-03-24,1
4,4,6,2020-03-25,NA
0,0,2,2020-03-26,3
6,6,9,2020-03-27,1
4,4,7,2020-03-28,3
2,2,5,2020-03-29,1
2,2,5,2020-03-30,4
4,4,7,2020-03-31,NA
2,2,5,2020-04-01,6
6,5,9,2020-04-02,4
7,6,10,2020-04-03,2
6,5,9,2020-04-04,2
7,6,11,2020-04-05,4
5,4,8,2020-04-06,2
3,2,6,2020-04-07,5
6,5,9,2020-04-08,6
3,2,6,2020-04-09,5
2,1,4,2020-04-10,6
0,0,3,2020-04-11,4
0,0,3,2020-04-12,2
0,0,4,2020-04-13,5
0,0,4,2020-04-14,2
1,0,4,2020-04-15,1
1,0,5,2020-04-16,NA
1,0,5,2020-04-17,NA
1,0,5,2020-04-18,NA
1,0,6,2020-04-19,NA
1,0,6,2020-04-20,NA
1,0,6,2020-04-21,NA
1,0,7,2020-04-22,NA
1,0,8,2020-04-23,NA
