"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-24,1
0,0,0,2020-03-25,NA
1,1,1,2020-03-26,1
1,1,1,2020-03-27,1
0,0,0,2020-03-28,NA
0,0,0,2020-03-29,NA
1,1,1,2020-03-30,1
0,0,0,2020-03-31,NA
1,1,1,2020-04-01,1
2,2,2,2020-04-02,2
2,2,2,2020-04-03,2
0,0,0,2020-04-04,NA
3,3,3,2020-04-05,3
2,2,3,2020-04-06,2
2,2,3,2020-04-07,2
1,1,2,2020-04-08,1
1,1,2,2020-04-09,1
1,1,2,2020-04-10,1
2,2,3,2020-04-11,2
0,0,1,2020-04-12,NA
3,3,4,2020-04-13,3
2,2,3,2020-04-14,2
4,4,6,2020-04-15,4
3,3,5,2020-04-16,3
2,2,4,2020-04-17,2
2,2,4,2020-04-18,2
3,3,6,2020-04-19,3
6,5,9,2020-04-20,5
4,3,7,2020-04-21,3
5,4,8,2020-04-22,4
4,3,8,2020-04-23,3
3,2,7,2020-04-24,2
5,3,9,2020-04-25,3
5,3,10,2020-04-26,3
10,7,15,2020-04-27,7
5,2,10,2020-04-28,2
5,2,11,2020-04-29,2
4,1,11,2020-04-30,1
5,1,11,2020-05-01,1
6,2,14,2020-05-02,2
