"estimate","lower","upper","onset_date","n.reported"
16,16,16,2020-03-23,16
6,6,7,2020-03-24,6
6,6,7,2020-03-25,6
16,16,18,2020-03-26,16
7,7,9,2020-03-27,7
9,9,12,2020-03-28,9
6,6,9,2020-03-29,6
16,15,19,2020-03-30,15
11,10,14,2020-03-31,10
25,23,29,2020-04-01,23
18,16,22,2020-04-02,16
16,15,20,2020-04-03,15
6,4,10,2020-04-04,4
15,13,19,2020-04-05,13
16,13,21,2020-04-06,13
19,15,25,2020-04-07,15
30,25,37,2020-04-08,24
31,26,39.0249999999996,2020-04-09,24
43,37,53,2020-04-10,34
33,27,42.0249999999996,2020-04-11,24
47,39,58,2020-04-12,35
44,36,56,2020-04-13,31
61,52,75,2020-04-14,44
52,42,66,2020-04-15,34
63,52,80,2020-04-16,40
67,55,86,2020-04-17,40
73,59,94,2020-04-18,41
69,54,90,2020-04-19,33
95,76,123,2020-04-20,46
77,57,104,2020-04-21,27
89,67,121,2020-04-22,29
101,74,139,2020-04-23,27
125,92,174,2020-04-24,30
123,83,178,2020-04-25,16
180,124,266,2020-04-26,27
144,88,226.025,2020-04-27,4
210,128,358,2020-04-28,15
186,103,343,2020-04-29,3
184,87,387,2020-04-30,2
179,72,430.025,2020-05-01,NA
