"dt_evoluca","n.casos"
2020-01-25,1
2020-02-10,1
2020-02-21,1
2020-02-23,1
2020-02-29,1
2020-03-03,1
2020-03-04,2
2020-03-10,1
2020-03-18,2
2020-03-19,1
2020-03-20,3
2020-03-22,1
2020-03-25,5
2020-03-26,3
2020-03-27,2
2020-03-28,2
2020-03-29,1
2020-03-30,6
2020-03-31,1
2020-04-01,1
2020-04-03,2
2020-04-04,5
2020-04-05,3
2020-04-06,2
2020-04-07,2
2020-04-08,3
2020-04-09,2
2020-04-10,3
2020-04-11,3
2020-04-12,4
2020-04-13,7
2020-04-14,2
2020-04-15,5
2020-04-16,5
2020-04-17,4
2020-04-19,1
2020-04-20,2
2020-04-21,2
2020-04-22,2
2020-04-24,1
2020-04-26,4
2020-04-27,4
2020-04-28,2
2020-04-29,2
2020-04-30,2
2020-05-01,1
2020-05-02,1
