"dt_sin_pri","n.casos"
2020-01-07,1
2020-01-14,2
2020-01-15,1
2020-01-16,1
2020-01-17,1
2020-01-19,1
2020-01-24,1
2020-01-26,1
2020-01-27,2
2020-02-05,2
2020-02-06,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,2
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-18,1
2020-02-21,1
2020-02-24,1
2020-02-26,1
2020-02-27,1
2020-02-29,1
2020-03-01,3
2020-03-02,2
2020-03-04,1
2020-03-05,3
2020-03-06,1
2020-03-07,2
2020-03-08,3
2020-03-09,2
2020-03-10,2
2020-03-11,3
2020-03-12,3
2020-03-13,9
2020-03-14,9
2020-03-15,10
2020-03-16,20
2020-03-17,11
2020-03-18,12
2020-03-19,25
2020-03-20,26
2020-03-21,22
2020-03-22,12
2020-03-23,23
2020-03-24,23
2020-03-25,20
2020-03-26,22
2020-03-27,14
2020-03-28,17
2020-03-29,11
2020-03-30,22
2020-03-31,16
2020-04-01,16
2020-04-02,16
2020-04-03,14
2020-04-04,19
2020-04-05,25
2020-04-06,21
2020-04-07,22
2020-04-08,15
2020-04-09,22
2020-04-10,26
2020-04-11,17
2020-04-12,30
2020-04-13,27
2020-04-14,18
2020-04-15,12
2020-04-16,33
2020-04-17,29
2020-04-18,20
2020-04-19,23
2020-04-20,38
2020-04-21,26
2020-04-22,21
2020-04-23,34
2020-04-24,31
2020-04-25,24
2020-04-26,18
2020-04-27,14
2020-04-28,12
2020-04-29,6
2020-04-30,5
2020-05-01,1
