"dt_notific","n.notific"
2020-01-17,2
2020-01-28,1
2020-02-06,1
2020-02-10,1
2020-02-15,1
2020-02-19,1
2020-02-29,1
2020-03-04,1
2020-03-09,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,2
2020-03-21,1
2020-03-22,2
2020-03-23,1
2020-03-24,4
2020-03-25,6
2020-03-26,3
2020-03-27,3
2020-03-28,1
2020-03-30,3
2020-03-31,5
2020-04-01,7
2020-04-03,1
2020-04-04,3
2020-04-05,2
2020-04-06,1
2020-04-07,5
2020-04-08,1
2020-04-10,3
2020-04-11,5
2020-04-12,1
2020-04-13,6
2020-04-14,3
2020-04-15,5
2020-04-16,2
2020-04-17,3
2020-04-18,1
2020-04-20,3
2020-04-22,2
2020-04-23,1
2020-04-24,3
2020-04-26,3
2020-04-27,4
2020-04-28,1
2020-04-29,1
2020-05-01,1
2020-05-02,1
