"dt_notific","n.notific"
2020-01-09,1
2020-01-16,1
2020-01-17,2
2020-01-20,2
2020-01-21,1
2020-01-27,2
2020-01-28,1
2020-02-06,1
2020-02-10,1
2020-02-11,2
2020-02-12,2
2020-02-14,1
2020-02-15,1
2020-02-17,2
2020-02-19,1
2020-02-25,1
2020-02-27,1
2020-02-29,1
2020-03-04,2
2020-03-06,1
2020-03-09,1
2020-03-10,1
2020-03-12,2
2020-03-13,1
2020-03-16,1
2020-03-17,5
2020-03-18,13
2020-03-19,4
2020-03-20,13
2020-03-21,17
2020-03-22,16
2020-03-23,27
2020-03-24,25
2020-03-25,18
2020-03-26,24
2020-03-27,31
2020-03-28,15
2020-03-29,7
2020-03-30,22
2020-03-31,24
2020-04-01,26
2020-04-02,14
2020-04-03,10
2020-04-04,12
2020-04-05,9
2020-04-06,19
2020-04-07,23
2020-04-08,22
2020-04-09,11
2020-04-10,10
2020-04-11,22
2020-04-12,7
2020-04-13,36
2020-04-14,25
2020-04-15,41
2020-04-16,20
2020-04-17,31
2020-04-18,22
2020-04-19,13
2020-04-20,27
2020-04-21,17
2020-04-22,33
2020-04-23,35
2020-04-24,37
2020-04-25,12
2020-04-26,17
2020-04-27,59
2020-04-28,32
2020-04-29,33
2020-04-30,27
2020-05-01,7
2020-05-02,5
2020-05-03,4
