"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-17,1
0,0,1,2020-03-18,NA
1,1,1,2020-03-19,1
0,0,1,2020-03-20,NA
0,0,1,2020-03-21,NA
0,0,1,2020-03-22,NA
0,0,1,2020-03-23,NA
0,0,1,2020-03-24,NA
2,2,3,2020-03-25,2
1,1,2,2020-03-26,1
0,0,1,2020-03-27,NA
0,0,1,2020-03-28,NA
0,0,1,2020-03-29,NA
2,2,4,2020-03-30,2
0,0,1,2020-03-31,NA
0,0,2,2020-04-01,NA
0,0,2,2020-04-02,NA
0,0,2,2020-04-03,NA
4,4,8,2020-04-04,4
3,3,7,2020-04-05,3
1,1,5,2020-04-06,1
2,1,5,2020-04-07,1
3,2,6,2020-04-08,2
1,0,4,2020-04-09,NA
3,2,7,2020-04-10,2
2,1,7,2020-04-11,1
7,5,14,2020-04-12,5
3,1,8,2020-04-13,1
3,1,9,2020-04-14,1
4,1,12,2020-04-15,1
9,4,23,2020-04-16,4
4,0,16,2020-04-17,NA
5,1,19,2020-04-18,1
5,0,19,2020-04-19,NA
6,1,26,2020-04-20,1
5,0,26,2020-04-21,NA
5,0,28,2020-04-22,NA
5,0,36,2020-04-23,NA
5,0,44,2020-04-24,NA
5,0,55,2020-04-25,NA
