"estimate","lower","upper","onset_date","n.reported"
5,5,5,2020-03-24,NA
3,3,3,2020-03-25,5
2,2,2,2020-03-26,3
2,2,2,2020-03-27,2
1,1,1,2020-03-28,2
6,6,6,2020-03-29,1
1,1,1,2020-03-30,6
1,1,1,2020-03-31,1
0,0,1,2020-04-01,1
2,2,3,2020-04-02,NA
5,5,7,2020-04-03,2
3,3,5,2020-04-04,5
2,2,5,2020-04-05,3
2,2,5,2020-04-06,2
3,3,6,2020-04-07,2
2,2,5,2020-04-08,3
4,3,6,2020-04-09,2
4,3,6,2020-04-10,3
5,4,8,2020-04-11,3
8,7,11,2020-04-12,4
3,2,6,2020-04-13,7
6,5,9,2020-04-14,2
6,5,9,2020-04-15,5
5,4,8,2020-04-16,5
1,0,4,2020-04-17,4
2,1,5,2020-04-18,NA
3,2,6,2020-04-19,1
3,2,6,2020-04-20,2
3,2,6,2020-04-21,2
1,0,5,2020-04-22,2
2,1,6,2020-04-23,NA
2,0,5,2020-04-24,1
6,4,10,2020-04-25,NA
5,3,9,2020-04-26,4
3,1,7,2020-04-27,3
4,2,9,2020-04-28,1
4,2,9,2020-04-29,2
4,1,9,2020-04-30,2
4,1,9,2020-05-01,1
3,0,9,2020-05-02,1
