"estimate","lower","upper","onset_date","n.reported"
17,17,17,2020-03-21,17
10,10,10,2020-03-22,10
18,18,18,2020-03-23,18
19,19,20,2020-03-24,19
17,17,18,2020-03-25,17
21,21,22,2020-03-26,21
11,11,12,2020-03-27,11
14,14,15,2020-03-28,14
9,9,11,2020-03-29,9
18,18,20,2020-03-30,18
13,13,15,2020-03-31,13
13,13,15,2020-04-01,13
15,15,18,2020-04-02,15
11,11,14,2020-04-03,11
16,15,18,2020-04-04,15
21,20,23,2020-04-05,20
19,18,22,2020-04-06,18
21,20,24,2020-04-07,20
10,9,14,2020-04-08,9
14,12,17,2020-04-09,12
21,19,25,2020-04-10,19
19,16,23,2020-04-11,16
29,25,34,2020-04-12,25
28,25,33,2020-04-13,24
19,16,24,2020-04-14,15
11,8,17,2020-04-15,7
32,28,39,2020-04-16,26
29,24,36,2020-04-17,21
26,20,34,2020-04-18,17
25,19,34,2020-04-19,14
36,28,46,2020-04-20,21
32,23,43,2020-04-21,14
34,24,48,2020-04-22,12
48,35,66,2020-04-23,19
50,35,71,2020-04-24,16
41,26,64,2020-04-25,4
50,30,81,2020-04-26,5
54,32,96,2020-04-27,4
61,34,121,2020-04-28,5
56.5,28,132,2020-04-29,NA
