"dt_evoluca","n.casos"
2020-03-25,2
2020-03-26,2
2020-03-27,2
2020-03-29,2
2020-03-30,2
2020-03-31,3
2020-04-01,1
2020-04-03,8
2020-04-04,7
2020-04-05,6
2020-04-06,7
2020-04-07,12
2020-04-08,7
2020-04-09,7
2020-04-10,12
2020-04-11,9
2020-04-12,14
2020-04-13,9
2020-04-14,15
2020-04-15,14
2020-04-16,10
2020-04-17,11
2020-04-18,13
2020-04-19,17
2020-04-20,13
2020-04-21,19
2020-04-22,16
2020-04-23,15
2020-04-24,13
2020-04-25,12
2020-04-26,10
2020-04-27,18
2020-04-28,5
2020-04-29,7
2020-04-30,1
2020-05-01,1
2020-05-02,1
