"dt_sin_pri","n.casos"
2020-02-04,1
2020-03-01,3
2020-03-02,2
2020-03-03,1
2020-03-06,1
2020-03-09,2
2020-03-10,2
2020-03-11,3
2020-03-12,2
2020-03-14,1
2020-03-15,2
2020-03-16,2
2020-03-17,3
2020-03-18,5
2020-03-19,10
2020-03-20,17
2020-03-21,12
2020-03-22,8
2020-03-23,13
2020-03-24,13
2020-03-25,15
2020-03-26,18
2020-03-27,11
2020-03-28,15
2020-03-29,14
2020-03-30,27
2020-03-31,26
2020-04-01,32
2020-04-02,16
2020-04-03,28
2020-04-04,26
2020-04-05,32
2020-04-06,38
2020-04-07,34
2020-04-08,29
2020-04-09,24
2020-04-10,31
2020-04-11,27
2020-04-12,24
2020-04-13,26
2020-04-14,32
2020-04-15,29
2020-04-16,22
2020-04-17,18
2020-04-18,18
2020-04-19,17
2020-04-20,9
2020-04-21,8
2020-04-22,10
2020-04-23,9
2020-04-24,9
2020-04-25,2
2020-04-26,5
2020-04-27,3
