"dt_sin_pri","n.casos"
2019-12-29,3
2019-12-30,1
2019-12-31,3
2020-01-01,4
2020-01-02,2
2020-01-03,1
2020-01-04,4
2020-01-05,4
2020-01-06,4
2020-01-07,1
2020-01-08,3
2020-01-09,6
2020-01-10,2
2020-01-11,3
2020-01-12,5
2020-01-13,2
2020-01-14,3
2020-01-15,3
2020-01-16,5
2020-01-17,5
2020-01-18,3
2020-01-19,4
2020-01-20,5
2020-01-21,4
2020-01-22,2
2020-01-23,4
2020-01-24,1
2020-01-25,4
2020-01-26,2
2020-01-27,3
2020-01-28,3
2020-01-29,1
2020-01-30,2
2020-01-31,2
2020-02-01,5
2020-02-02,4
2020-02-03,1
2020-02-04,6
2020-02-05,2
2020-02-07,6
2020-02-08,2
2020-02-10,5
2020-02-12,2
2020-02-13,4
2020-02-14,5
2020-02-16,6
2020-02-17,13
2020-02-18,2
2020-02-19,9
2020-02-20,4
2020-02-21,8
2020-02-22,11
2020-02-23,5
2020-02-24,7
2020-02-25,5
2020-02-26,8
2020-02-27,7
2020-02-28,8
2020-02-29,5
2020-03-01,19
2020-03-02,10
2020-03-03,3
2020-03-04,5
2020-03-05,5
2020-03-06,6
2020-03-07,9
2020-03-08,11
2020-03-09,15
2020-03-10,15
2020-03-11,20
2020-03-12,32
2020-03-13,26
2020-03-14,35
2020-03-15,44
2020-03-16,43
2020-03-17,57
2020-03-18,64
2020-03-19,56
2020-03-20,90
2020-03-21,63
2020-03-22,55
2020-03-23,61
2020-03-24,76
2020-03-25,61
2020-03-26,65
2020-03-27,59
2020-03-28,64
2020-03-29,57
2020-03-30,77
2020-03-31,77
2020-04-01,103
2020-04-02,71
2020-04-03,85
2020-04-04,97
2020-04-05,104
2020-04-06,116
2020-04-07,101
2020-04-08,113
2020-04-09,113
2020-04-10,135
2020-04-11,120
2020-04-12,107
2020-04-13,112
2020-04-14,120
2020-04-15,108
2020-04-16,106
2020-04-17,112
2020-04-18,96
2020-04-19,95
2020-04-20,100
2020-04-21,68
2020-04-22,57
2020-04-23,65
2020-04-24,68
2020-04-25,57
2020-04-26,43
2020-04-27,35
2020-04-28,31
2020-04-29,23
2020-04-30,18
2020-05-01,12
2020-05-02,9
2020-05-03,1
