"dt_notific","n.notific"
2020-03-20,2
2020-03-22,1
2020-03-25,5
2020-03-26,5
2020-03-27,7
2020-03-28,1
2020-03-29,5
2020-03-30,2
2020-03-31,4
2020-04-01,2
2020-04-02,7
2020-04-03,7
2020-04-04,8
2020-04-05,7
2020-04-06,7
2020-04-07,8
2020-04-08,13
2020-04-09,16
2020-04-10,10
2020-04-11,14
2020-04-12,8
2020-04-13,7
2020-04-14,21
2020-04-15,13
2020-04-16,16
2020-04-17,18
2020-04-18,8
2020-04-19,8
2020-04-20,19
2020-04-21,7
2020-04-22,15
2020-04-23,8
2020-04-24,11
2020-04-25,6
2020-04-26,8
2020-04-27,10
2020-04-28,3
2020-04-29,4
2020-04-30,2
