"dt_notific","n.notific"
2020-01-02,1
2020-01-10,1
2020-01-11,1
2020-01-17,3
2020-01-20,1
2020-02-14,1
2020-03-09,1
2020-03-11,1
2020-03-12,2
2020-03-15,1
2020-03-18,1
2020-03-19,1
2020-03-20,7
2020-03-21,7
2020-03-22,13
2020-03-23,3
2020-03-24,7
2020-03-25,16
2020-03-26,10
2020-03-27,15
2020-03-28,2
2020-03-29,10
2020-03-30,14
2020-03-31,13
2020-04-01,6
2020-04-02,11
2020-04-03,20
2020-04-04,15
2020-04-05,16
2020-04-06,18
2020-04-07,16
2020-04-08,23
2020-04-09,31
2020-04-10,20
2020-04-11,25
2020-04-12,23
2020-04-13,37
2020-04-14,35
2020-04-15,44
2020-04-16,35
2020-04-17,36
2020-04-18,17
2020-04-19,28
2020-04-20,36
2020-04-21,17
2020-04-22,25
2020-04-23,21
2020-04-24,24
2020-04-25,18
2020-04-26,27
2020-04-27,23
2020-04-28,13
2020-04-29,18
2020-04-30,10
2020-05-01,5
2020-05-02,3
2020-05-03,2
2020-05-04,1
