"dt_notific","n.notific"
2020-01-02,3
2020-01-06,4
2020-01-07,2
2020-01-08,2
2020-01-09,4
2020-01-10,3
2020-01-11,1
2020-01-13,9
2020-01-14,3
2020-01-15,3
2020-01-16,4
2020-01-17,4
2020-01-20,8
2020-01-21,9
2020-01-22,5
2020-01-23,1
2020-01-24,2
2020-01-27,9
2020-01-28,6
2020-01-29,4
2020-01-30,4
2020-02-02,1
2020-02-03,3
2020-02-04,4
2020-02-05,1
2020-02-06,5
2020-02-10,10
2020-02-11,4
2020-02-12,1
2020-02-13,1
2020-02-14,3
2020-02-17,7
2020-02-18,5
2020-02-19,6
2020-02-20,6
2020-02-21,5
2020-02-22,5
2020-02-23,3
2020-02-24,7
2020-02-25,6
2020-02-26,5
2020-02-27,7
2020-02-28,9
2020-02-29,1
2020-03-01,1
2020-03-02,12
2020-03-03,7
2020-03-04,5
2020-03-05,9
2020-03-06,2
2020-03-09,12
2020-03-10,6
2020-03-11,11
2020-03-12,7
2020-03-13,12
2020-03-14,5
2020-03-15,7
2020-03-16,23
2020-03-17,32
2020-03-18,28
2020-03-19,23
2020-03-20,52
2020-03-21,42
2020-03-22,31
2020-03-23,66
2020-03-24,82
2020-03-25,61
2020-03-26,64
2020-03-27,65
2020-03-28,41
2020-03-29,56
2020-03-30,84
2020-03-31,63
2020-04-01,53
2020-04-02,50
2020-04-03,76
2020-04-04,54
2020-04-05,62
2020-04-06,105
2020-04-07,69
2020-04-08,148
2020-04-09,109
2020-04-10,74
2020-04-11,84
2020-04-12,92
2020-04-13,135
2020-04-14,181
2020-04-15,148
2020-04-16,125
2020-04-17,108
2020-04-18,98
2020-04-19,85
2020-04-20,144
2020-04-21,81
2020-04-22,109
2020-04-23,129
2020-04-24,118
2020-04-25,66
2020-04-26,76
2020-04-27,123
2020-04-28,69
2020-04-29,51
2020-04-30,62
2020-05-01,49
2020-05-02,47
2020-05-03,30
2020-05-04,11
