"estimate","lower","upper","onset_date","n.reported"
3,3,3,2020-03-17,3
5,5,6,2020-03-18,5
10,10,11,2020-03-19,10
16,16,18,2020-03-20,16
12,12,15,2020-03-21,12
9,8,12,2020-03-22,8
14,13,18,2020-03-23,13
14,13,18,2020-03-24,13
16,15,20,2020-03-25,15
18,17,22,2020-03-26,17
12,10,15.0249999999996,2020-03-27,10
16,14,20,2020-03-28,14
15,13,20,2020-03-29,13
26,23,31,2020-03-30,23
30,26,36,2020-03-31,26
36,32,42,2020-04-01,31
19,16,25,2020-04-02,15
26,22,32,2020-04-03,21
31,27,39,2020-04-04,25
34,29,42,2020-04-05,26
39,33,49,2020-04-06,29
44,36,54,2020-04-07,31
38,31,47,2020-04-08,25
32,25,42,2020-04-09,19
39,31,49,2020-04-10,24
32,24,43,2020-04-11,17
30,22,42,2020-04-12,14
34,25,47,2020-04-13,16
36,26,50,2020-04-14,15
35,24,50,2020-04-15,13
27,17,42,2020-04-16,6
27,15,42,2020-04-17,5
30,18,46,2020-04-18,7
22,10,39,2020-04-19,NA
24,11,44,2020-04-20,1
26,11,49,2020-04-21,1
28,12,56,2020-04-22,2
26,9,57,2020-04-23,NA
27,9,61,2020-04-24,NA
26,8,65,2020-04-25,NA
