"estimate","lower","upper","onset_date","n.reported"
2,2,2,2020-03-23,NA
2,2,2,2020-03-24,NA
2,2,2,2020-03-25,2
0,0,0,2020-03-26,2
2,2,2,2020-03-27,2
2,2,2,2020-03-28,NA
3,3,3,2020-03-29,2
1,1,1,2020-03-30,2
0,0,0,2020-03-31,3
8,8,8,2020-04-01,1
7,7,7,2020-04-02,NA
6,6,6,2020-04-03,8
7,7,9,2020-04-04,7
11,11,14,2020-04-05,6
6,6,9,2020-04-06,7
7,7,10,2020-04-07,11
13,12,16,2020-04-08,6
10,9,14,2020-04-09,7
16,14,20,2020-04-10,12
11,9,15,2020-04-11,9
17,14,21,2020-04-12,14
17,14,22,2020-04-13,9
12,9,17,2020-04-14,14
14,11,19,2020-04-15,14
17,13,23,2020-04-16,9
21,17,27.0249999999996,2020-04-17,11
17,13,24,2020-04-18,13
24,19,32,2020-04-19,16
20,15,27,2020-04-20,12
18,13,25,2020-04-21,18
15,10,22,2020-04-22,14
14,10,21,2020-04-23,12
16,11,24,2020-04-24,9
20,14,29,2020-04-25,8
10,5,17,2020-04-26,9
10,5,18,2020-04-27,12
7,2,15,2020-04-28,3
5,1,14,2020-04-29,4
6,1,15,2020-04-30,1
6,0,17,2020-05-01,NA
