"estimate","lower","upper","onset_date","n.reported"
6,6,6,2020-03-24,6
5,5,5,2020-03-25,5
12,12,12,2020-03-26,12
5,5,5,2020-03-27,5
4,4,4,2020-03-28,4
4,4,4,2020-03-29,4
14,14,14,2020-03-30,14
9,9,9,2020-03-31,9
6,6,6,2020-04-01,6
1,1,1,2020-04-02,1
18,18,19,2020-04-03,18
19,19,21,2020-04-04,19
13,13,15,2020-04-05,13
16,16,19,2020-04-06,16
21,20,24,2020-04-07,20
15,14,18,2020-04-08,14
17,16,21,2020-04-09,16
28,26,32,2020-04-10,26
24,21,29,2020-04-11,21
39,35,45,2020-04-12,35
37,33,44,2020-04-13,32
33,29,40,2020-04-14,28
41,36,49,2020-04-15,34
41,35,49,2020-04-16,33
40,34,49,2020-04-17,31
40,34,49,2020-04-18,30
42,35,52,2020-04-19,31
40,33,50,2020-04-20,28
46,37,57,2020-04-21,31
44,36,56,2020-04-22,29
41,32,53,2020-04-23,24
47,37,60,2020-04-24,27
52,41,68,2020-04-25,28
54,41,71,2020-04-26,25
58,44,77,2020-04-27,25
47,32,65,2020-04-28,14
48,32,68,2020-04-29,13
40,24,62,2020-04-30,6
34,17,58,2020-05-01,1
37,17,65,2020-05-02,2
