"estimate","lower","upper","onset_date","n.reported"
61,61,61,2020-03-23,61
76,76,78,2020-03-24,76
61,61,64,2020-03-25,61
64,64,67,2020-03-26,64
60,59,63,2020-03-27,59
65,64,69,2020-03-28,64
59,57,63,2020-03-29,57
79,76,83,2020-03-30,76
80,77,85,2020-03-31,77
104,100,109,2020-04-01,99
73,69,79,2020-04-02,68
90,86,96,2020-04-03,84
103,98,110,2020-04-04,95
114,108,122,2020-04-05,104
121,114,129,2020-04-06,109
112,104,120,2020-04-07,98
129,121,138,2020-04-08,113
130,121,140,2020-04-09,110
156,146,168,2020-04-10,131
144,133,156,2020-04-11,116
131,119,144,2020-04-12,99
147,134,161,2020-04-13,109
155,142,172,2020-04-14,111
151,136,168,2020-04-15,101
159,143,179,2020-04-16,101
173,155,194,2020-04-17,105
164,145,187,2020-04-18,88
172,150,197,2020-04-19,85
188,165,215,2020-04-20,88
167,142,196,2020-04-21,62
173,143.975,207,2020-04-22,52
208,174,247,2020-04-23,56
244,204,292,2020-04-24,55
271,222,329,2020-04-25,47
293,234,363,2020-04-26,38
303,235,384,2020-04-27,23
317,238,418,2020-04-28,15
336,242,472,2020-04-29,11
341,230.975,507,2020-04-30,4
342,220,546,2020-05-01,1
