"dt_evoluca","n.casos"
2020-02-02,1
2020-02-13,1
2020-02-18,1
2020-02-29,1
2020-03-02,1
2020-03-06,1
2020-03-19,1
2020-03-20,3
2020-03-22,1
2020-03-24,2
2020-03-25,1
2020-03-26,3
2020-03-27,1
2020-03-29,3
2020-03-30,4
2020-03-31,3
2020-04-02,1
2020-04-03,7
2020-04-04,5
2020-04-05,1
2020-04-07,3
2020-04-08,6
2020-04-09,2
2020-04-10,1
2020-04-11,3
2020-04-12,4
2020-04-13,3
2020-04-14,5
2020-04-15,4
2020-04-16,4
2020-04-17,1
2020-04-19,4
2020-04-20,3
2020-04-21,1
2020-04-22,2
2020-04-23,1
2020-04-24,3
2020-04-25,2
2020-04-26,1
2020-04-27,2
2020-04-28,6
2020-04-29,1
2020-05-02,1
