"dt_notific","n.notific"
2020-01-30,2
2020-02-17,1
2020-02-28,1
2020-03-02,1
2020-03-03,1
2020-03-11,1
2020-03-16,1
2020-03-18,1
2020-03-20,3
2020-03-21,2
2020-03-23,3
2020-03-24,6
2020-03-25,1
2020-03-26,1
2020-03-27,3
2020-03-29,2
2020-03-30,6
2020-03-31,1
2020-04-01,3
2020-04-02,2
2020-04-03,5
2020-04-04,2
2020-04-05,4
2020-04-06,2
2020-04-07,2
2020-04-08,3
2020-04-09,4
2020-04-10,3
2020-04-11,1
2020-04-12,2
2020-04-13,3
2020-04-14,2
2020-04-15,2
2020-04-16,4
2020-04-17,3
2020-04-19,5
2020-04-20,2
2020-04-21,2
2020-04-22,2
2020-04-23,1
2020-04-24,3
2020-04-25,2
2020-04-27,1
2020-04-28,3
