"estimate","lower","upper","onset_date","n.reported"
2,2,2,2020-03-17,NA
0,0,0,2020-03-18,2
1,1,2,2020-03-19,NA
1,1,2,2020-03-20,1
1,1,2,2020-03-21,1
1,1,2,2020-03-22,1
0,0,1,2020-03-23,1
2,2,3,2020-03-24,NA
0,0,1,2020-03-25,2
1,1,2,2020-03-26,NA
0,0,1,2020-03-27,1
0,0,1,2020-03-28,NA
2,2,4,2020-03-29,NA
2,2,4,2020-03-30,2
3,3,5,2020-03-31,2
1,1,3,2020-04-01,3
0,0,2,2020-04-02,1
0,0,2,2020-04-03,NA
1,1,4,2020-04-04,NA
2,2,5,2020-04-05,1
3,2,6,2020-04-06,2
5,4,8,2020-04-07,2
1,0,4,2020-04-08,4
3,2,7,2020-04-09,NA
2,1,7,2020-04-10,2
5,3,11,2020-04-11,1
11,7,19,2020-04-12,3
10,6,19,2020-04-13,7
9,5,17,2020-04-14,6
6,2,13,2020-04-15,5
8,4,17,2020-04-16,2
7,3,16,2020-04-17,4
5,1,14,2020-04-18,3
6,2,17,2020-04-19,1
7,2,20,2020-04-20,1
7,1,22,2020-04-21,1
10,3,32,2020-04-22,NA
7,1,34,2020-04-23,2
8,1,39.0249999999996,2020-04-24,NA
8,1,46,2020-04-25,NA
