"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-22,1
0,0,0,2020-03-23,NA
2,2,2,2020-03-24,2
1,1,1,2020-03-25,1
3,3,3,2020-03-26,3
1,1,1,2020-03-27,1
0,0,0,2020-03-28,NA
3,3,4,2020-03-29,3
4,4,6,2020-03-30,4
3,3,5,2020-03-31,3
0,0,2,2020-04-01,NA
1,1,3,2020-04-02,1
7,7,9,2020-04-03,7
5,5,7,2020-04-04,5
1,1,3,2020-04-05,1
0,0,2,2020-04-06,NA
3,3,5,2020-04-07,3
6,6,8,2020-04-08,6
2,2,4,2020-04-09,2
0,0,2,2020-04-10,NA
3,3,6,2020-04-11,3
4,4,7,2020-04-12,4
3,3,6,2020-04-13,3
5,4,7,2020-04-14,4
5,4,7,2020-04-15,4
5,4,7,2020-04-16,4
2,1,5,2020-04-17,1
1,0,4,2020-04-18,NA
5,4,9,2020-04-19,4
4,3,8,2020-04-20,3
2,1,6,2020-04-21,1
4,2,7,2020-04-22,2
3,1,7,2020-04-23,1
5,3,9,2020-04-24,3
4,2,8,2020-04-25,2
3,1,8,2020-04-26,1
5,2,10,2020-04-27,2
8,5,14,2020-04-28,5
4,1,10,2020-04-29,1
4,0,10,2020-04-30,NA
