"estimate","lower","upper","onset_date","n.reported"
25,25,25,2020-03-24,25
21,21,21,2020-03-25,21
13,13,14,2020-03-26,13
21,21,23,2020-03-27,21
14,14,17,2020-03-28,14
15,15,18,2020-03-29,15
24,23,27,2020-03-30,23
9,8,12,2020-03-31,8
25,24,28,2020-04-01,24
11,10,14,2020-04-02,10
15,14,18,2020-04-03,14
18,17,21,2020-04-04,17
21,20,25,2020-04-05,20
22,21,26,2020-04-06,21
15,14,19,2020-04-07,14
19,17,22,2020-04-08,17
23,21,27,2020-04-09,21
28,25,33,2020-04-10,25
20,17,25,2020-04-11,17
23,19,28,2020-04-12,19
32,28,38,2020-04-13,27
30,26,37,2020-04-14,24
27,22,34,2020-04-15,20
32,26,39,2020-04-16,23
31,24,39,2020-04-17,20
43,35,53,2020-04-18,29
39,31,50,2020-04-19,23
45,36,57,2020-04-20,25
50,39,63,2020-04-21,26
45,34,60,2020-04-22,18
66,52,83,2020-04-23,29
69,53,89,2020-04-24,24
75,57,100,2020-04-25,21
97,74,130,2020-04-26,28
93,68,126,2020-04-27,18
87,60,125,2020-04-28,10
83,54,124,2020-04-29,5
83,49,131,2020-04-30,2
89,50,151,2020-05-01,3
86,44,159,2020-05-02,NA
