"dt_evoluca","n.casos"
2020-01-03,1
2020-01-09,2
2020-01-12,1
2020-01-13,1
2020-01-14,2
2020-01-15,1
2020-01-16,1
2020-01-18,1
2020-01-19,1
2020-01-21,2
2020-01-23,1
2020-01-26,1
2020-01-27,1
2020-01-28,2
2020-01-30,1
2020-02-01,1
2020-02-02,2
2020-02-04,1
2020-02-06,2
2020-02-07,1
2020-02-08,1
2020-02-09,3
2020-02-11,1
2020-02-12,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-03-02,1
2020-03-03,2
2020-03-04,1
2020-03-05,2
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,2
2020-03-10,2
2020-03-11,3
2020-03-12,1
2020-03-13,1
2020-03-14,2
2020-03-15,2
2020-03-16,1
2020-03-17,2
2020-03-18,3
2020-03-19,4
2020-03-20,5
2020-03-21,9
2020-03-22,9
2020-03-23,8
2020-03-24,11
2020-03-25,12
2020-03-26,6
2020-03-27,9
2020-03-28,7
2020-03-29,10
2020-03-30,18
2020-03-31,11
2020-04-01,16
2020-04-02,8
2020-04-03,15
2020-04-04,13
2020-04-05,9
2020-04-06,17
2020-04-07,17
2020-04-08,18
2020-04-09,17
2020-04-10,11
2020-04-11,16
2020-04-12,12
2020-04-13,19
2020-04-14,14
2020-04-15,10
2020-04-16,11
2020-04-17,16
2020-04-18,15
2020-04-19,11
2020-04-20,25
2020-04-21,14
2020-04-22,19
2020-04-23,12
2020-04-24,15
2020-04-25,17
2020-04-26,8
2020-04-27,21
2020-04-28,20
2020-04-29,17
2020-04-30,6
2020-05-01,3
2020-05-02,6
2020-05-03,1
2020-05-04,1
