"dt_sin_pri","n.casos"
2019-12-29,3
2019-12-30,3
2019-12-31,10
2020-01-01,15
2020-01-02,6
2020-01-03,8
2020-01-04,5
2020-01-05,9
2020-01-06,5
2020-01-07,7
2020-01-08,2
2020-01-09,3
2020-01-10,8
2020-01-11,5
2020-01-12,12
2020-01-13,11
2020-01-14,9
2020-01-15,9
2020-01-16,10
2020-01-17,6
2020-01-18,3
2020-01-19,10
2020-01-20,9
2020-01-21,5
2020-01-22,9
2020-01-23,7
2020-01-24,5
2020-01-25,4
2020-01-26,6
2020-01-27,7
2020-01-28,9
2020-01-29,10
2020-01-30,5
2020-01-31,7
2020-02-01,10
2020-02-02,8
2020-02-03,8
2020-02-04,13
2020-02-05,3
2020-02-06,5
2020-02-07,8
2020-02-08,4
2020-02-09,10
2020-02-10,9
2020-02-11,9
2020-02-12,6
2020-02-13,3
2020-02-14,11
2020-02-15,15
2020-02-16,8
2020-02-17,9
2020-02-18,5
2020-02-19,11
2020-02-20,6
2020-02-21,6
2020-02-22,9
2020-02-23,15
2020-02-24,13
2020-02-25,11
2020-02-26,13
2020-02-27,13
2020-02-28,12
2020-02-29,15
2020-03-01,21
2020-03-02,15
2020-03-03,19
2020-03-04,13
2020-03-05,20
2020-03-06,27
2020-03-07,23
2020-03-08,22
2020-03-09,38
2020-03-10,60
2020-03-11,32
2020-03-12,44
2020-03-13,54
2020-03-14,52
2020-03-15,82
2020-03-16,94
2020-03-17,75
2020-03-18,78
2020-03-19,100
2020-03-20,132
2020-03-21,89
2020-03-22,114
2020-03-23,145
2020-03-24,91
2020-03-25,89
2020-03-26,101
2020-03-27,89
2020-03-28,98
2020-03-29,101
2020-03-30,107
2020-03-31,92
2020-04-01,126
2020-04-02,98
2020-04-03,81
2020-04-04,113
2020-04-05,118
2020-04-06,109
2020-04-07,89
2020-04-08,81
2020-04-09,93
2020-04-10,95
2020-04-11,70
2020-04-12,105
2020-04-13,113
2020-04-14,93
2020-04-15,111
2020-04-16,95
2020-04-17,94
2020-04-18,118
2020-04-19,86
2020-04-20,120
2020-04-21,95
2020-04-22,89
2020-04-23,102
2020-04-24,78
2020-04-25,103
2020-04-26,84
2020-04-27,78
2020-04-28,73
2020-04-29,42
2020-04-30,43
2020-05-01,22
2020-05-02,11
2020-05-03,5
2020-05-04,2
