"dt_notific","n.notific"
2020-03-04,1
2020-03-11,1
2020-03-16,5
2020-03-17,1
2020-03-18,3
2020-03-19,8
2020-03-20,5
2020-03-21,2
2020-03-22,5
2020-03-23,4
2020-03-24,8
2020-03-25,11
2020-03-26,11
2020-03-27,20
2020-03-28,12
2020-03-29,11
2020-03-30,27
2020-03-31,18
2020-04-01,23
2020-04-02,19
2020-04-03,16
2020-04-04,11
2020-04-05,7
2020-04-06,16
2020-04-07,10
2020-04-08,12
2020-04-09,9
2020-04-10,8
2020-04-11,3
2020-04-12,5
2020-04-13,15
2020-04-14,8
2020-04-15,7
2020-04-16,4
2020-04-17,7
2020-04-18,8
2020-04-19,2
2020-04-20,14
2020-04-21,10
2020-04-22,17
2020-04-23,9
2020-04-24,11
2020-04-25,10
2020-04-26,6
2020-04-27,5
2020-04-28,6
2020-04-29,4
2020-04-30,3
2020-05-01,1
