"dt_notific","n.notific"
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-26,4
2020-03-27,3
2020-03-28,3
2020-03-29,1
2020-03-30,4
2020-03-31,5
2020-04-01,5
2020-04-02,3
2020-04-03,5
2020-04-04,4
2020-04-05,2
2020-04-06,7
2020-04-07,4
2020-04-08,4
2020-04-10,1
2020-04-11,1
2020-04-12,3
2020-04-13,2
2020-04-14,2
2020-04-15,1
2020-04-17,2
2020-04-18,1
2020-04-19,2
2020-04-20,3
2020-04-21,2
2020-04-22,1
2020-04-23,1
2020-04-24,3
2020-04-25,1
2020-04-26,1
2020-04-27,1
2020-04-28,1
2020-04-29,1
