"dt_notific","n.notific"
2019-12-31,2
2020-01-01,1
2020-01-02,4
2020-01-03,6
2020-01-04,3
2020-01-05,2
2020-01-06,10
2020-01-07,7
2020-01-08,10
2020-01-09,9
2020-01-10,8
2020-01-11,1
2020-01-12,5
2020-01-13,9
2020-01-14,8
2020-01-15,10
2020-01-16,11
2020-01-17,5
2020-01-18,2
2020-01-20,14
2020-01-21,9
2020-01-22,4
2020-01-23,4
2020-01-24,11
2020-01-25,2
2020-01-26,4
2020-01-27,14
2020-01-28,9
2020-01-29,3
2020-01-30,9
2020-01-31,8
2020-02-01,2
2020-02-02,6
2020-02-03,15
2020-02-04,12
2020-02-05,12
2020-02-06,5
2020-02-07,5
2020-02-08,1
2020-02-09,1
2020-02-10,11
2020-02-11,5
2020-02-12,9
2020-02-13,5
2020-02-14,2
2020-02-15,1
2020-02-16,5
2020-02-17,19
2020-02-18,8
2020-02-19,17
2020-02-20,6
2020-02-21,13
2020-02-22,6
2020-02-23,3
2020-02-24,2
2020-02-25,7
2020-02-26,23
2020-02-27,19
2020-02-28,17
2020-02-29,2
2020-03-01,7
2020-03-02,14
2020-03-03,13
2020-03-04,18
2020-03-05,17
2020-03-06,13
2020-03-07,3
2020-03-08,2
2020-03-09,31
2020-03-10,27
2020-03-11,21
2020-03-12,27
2020-03-13,36
2020-03-14,14
2020-03-15,13
2020-03-16,57
2020-03-17,71
2020-03-18,67
2020-03-19,65
2020-03-20,60
2020-03-21,51
2020-03-22,57
2020-03-23,131
2020-03-24,93
2020-03-25,121
2020-03-26,99
2020-03-27,113
2020-03-28,62
2020-03-29,60
2020-03-30,162
2020-03-31,147
2020-04-01,102
2020-04-02,113
2020-04-03,110
2020-04-04,56
2020-04-05,52
2020-04-06,169
2020-04-07,128
2020-04-08,121
2020-04-09,111
2020-04-10,60
2020-04-11,66
2020-04-12,35
2020-04-13,164
2020-04-14,122
2020-04-15,110
2020-04-16,115
2020-04-17,100
2020-04-18,58
2020-04-19,64
2020-04-20,162
2020-04-21,90
2020-04-22,161
2020-04-23,119
2020-04-24,129
2020-04-25,54
2020-04-26,64
2020-04-27,165
2020-04-28,117
2020-04-29,103
2020-04-30,113
2020-05-01,64
2020-05-02,49
2020-05-03,29
2020-05-04,72
