"estimate","lower","upper","onset_date","n.reported"
9,9,9,2020-03-19,9
23,23,24,2020-03-20,23
12,12,13,2020-03-21,12
10,10,12,2020-03-22,10
17,17,19,2020-03-23,17
11,11,13,2020-03-24,11
13,13,15,2020-03-25,13
19,18,21,2020-03-26,18
10,9,12,2020-03-27,9
15,14,17,2020-03-28,14
13,12,16,2020-03-29,12
8,7,10,2020-03-30,7
13,12,16,2020-03-31,12
11,10,14,2020-04-01,10
11,10,14,2020-04-02,10
14,13,18,2020-04-03,13
12,11,16,2020-04-04,11
12,10,15,2020-04-05,10
14,12,18,2020-04-06,12
11,9,15,2020-04-07,9
4,2,8,2020-04-08,2
13,10,17,2020-04-09,10
10,7,14,2020-04-10,7
9,6,13,2020-04-11,6
11,8,16,2020-04-12,8
13,10,17,2020-04-13,9
14,11,20,2020-04-14,10
14,10,19,2020-04-15,9
10,6,16,2020-04-16,5
12,8,18,2020-04-17,6
10,5,16,2020-04-18,3
9,4,15,2020-04-19,1
11,6,19,2020-04-20,3
14,9,22,2020-04-21,5
12,6,20,2020-04-22,2
10,4,19,2020-04-23,NA
11,4,19,2020-04-24,NA
11,4,20,2020-04-25,NA
11,4,20,2020-04-26,NA
11,4,20,2020-04-27,NA
