"estimate","lower","upper","onset_date","n.reported"
11,11,11,2020-03-24,11
12,12,12,2020-03-25,12
6,6,6,2020-03-26,6
9,9,9,2020-03-27,9
7,7,7,2020-03-28,7
10,10,10,2020-03-29,10
18,18,18,2020-03-30,18
10,10,10,2020-03-31,10
16,16,16,2020-04-01,16
8,8,8,2020-04-02,8
15,15,16,2020-04-03,15
13,13,14,2020-04-04,13
9,9,11,2020-04-05,9
17,17,19,2020-04-06,17
17,17,19,2020-04-07,17
18,18,20,2020-04-08,18
17,17,19,2020-04-09,17
11,11,13,2020-04-10,11
16,16,19,2020-04-11,16
13,12,15,2020-04-12,12
20,19,23,2020-04-13,19
15,14,18,2020-04-14,14
11,10,14,2020-04-15,10
12,11,15,2020-04-16,11
17,16,21,2020-04-17,16
17,15,20,2020-04-18,15
13,11,17,2020-04-19,11
27,24,31,2020-04-20,24
16,13,21,2020-04-21,13
22,18,27,2020-04-22,18
16,13,22,2020-04-23,12
20,16,26,2020-04-24,15
23,18,29,2020-04-25,16
16,11,23,2020-04-26,8
29,23,38,2020-04-27,19
30,23,40,2020-04-28,18
30,22,40,2020-04-29,16
16,8,26,2020-04-30,2
15,6,26,2020-05-01,NA
19,9,33,2020-05-02,2
