"estimate","lower","upper","onset_date","n.reported"
91,91,91,2020-03-24,91
88,88,90,2020-03-25,88
101,101,103,2020-03-26,101
90,89,93,2020-03-27,89
100,98,103,2020-03-28,98
102,100,107,2020-03-29,100
109,106,114,2020-03-30,106
94,91,99,2020-03-31,91
130,126,135,2020-04-01,126
101,98,106,2020-04-02,97
85,82,91,2020-04-03,81
117,113,123,2020-04-04,112
124,120,131,2020-04-05,118
115,110,121,2020-04-06,108
94,89,100,2020-04-07,87
88,83,95,2020-04-08,81
102,96,109,2020-04-09,93
104,98,111,2020-04-10,94
78,72,86,2020-04-11,68
118,111,127,2020-04-12,104
129,121,139,2020-04-13,112
109,101,119,2020-04-14,91
131,122,142,2020-04-15,110
114,104,125,2020-04-16,91
119,109,131,2020-04-17,93
149,137,162,2020-04-18,117
114,103,128,2020-04-19,82
148,135,163,2020-04-20,108
136,122,152,2020-04-21,92
137,122,155,2020-04-22,85
158,140,179,2020-04-23,94
143,123,166,2020-04-24,68
193,169,222,2020-04-25,89
201,172,235,2020-04-26,71
237,200,281,2020-04-27,65
287,237,349,2020-04-28,59
282,223,359,2020-04-29,27
300,224,405,2020-04-30,18
296,206.975,430,2020-05-01,5
295,193,461.025,2020-05-02,1
