"dt_evoluca","n.casos"
2020-03-17,1
2020-03-21,2
2020-03-22,1
2020-03-23,5
2020-03-24,4
2020-03-25,5
2020-03-26,3
2020-03-27,3
2020-03-28,8
2020-03-29,7
2020-03-30,12
2020-03-31,12
2020-04-01,16
2020-04-02,17
2020-04-03,16
2020-04-04,19
2020-04-05,16
2020-04-06,24
2020-04-07,22
2020-04-08,23
2020-04-09,23
2020-04-10,36
2020-04-11,28
2020-04-12,44
2020-04-13,38
2020-04-14,33
2020-04-15,39
2020-04-16,40
2020-04-17,27
2020-04-18,41
2020-04-19,39
2020-04-20,51
2020-04-21,32
2020-04-22,30
2020-04-23,24
2020-04-24,35
2020-04-25,30
2020-04-26,24
2020-04-27,13
2020-04-28,15
2020-04-29,18
2020-04-30,16
2020-05-01,11
2020-05-02,6
2020-05-03,3
2020-05-04,1
