"dt_evoluca","n.casos"
2020-01-06,1
2020-01-17,1
2020-01-19,1
2020-01-22,1
2020-02-01,1
2020-02-02,1
2020-02-07,1
2020-02-09,1
2020-02-14,1
2020-02-19,1
2020-02-22,1
2020-03-03,2
2020-03-06,1
2020-03-08,1
2020-03-09,2
2020-03-11,1
2020-03-13,1
2020-03-14,3
2020-03-17,3
2020-03-18,3
2020-03-19,6
2020-03-20,10
2020-03-21,10
2020-03-22,8
2020-03-23,11
2020-03-24,15
2020-03-25,17
2020-03-26,16
2020-03-27,12
2020-03-28,17
2020-03-29,12
2020-03-30,22
2020-03-31,32
2020-04-01,25
2020-04-02,36
2020-04-03,35
2020-04-04,37
2020-04-05,36
2020-04-06,39
2020-04-07,43
2020-04-08,41
2020-04-09,40
2020-04-10,53
2020-04-11,45
2020-04-12,63
2020-04-13,63
2020-04-14,53
2020-04-15,66
2020-04-16,57
2020-04-17,54
2020-04-18,62
2020-04-19,74
2020-04-20,88
2020-04-21,57
2020-04-22,70
2020-04-23,56
2020-04-24,77
2020-04-25,63
2020-04-26,46
2020-04-27,33
2020-04-28,45
2020-04-29,46
2020-04-30,39
2020-05-01,23
2020-05-02,18
2020-05-03,8
2020-05-04,1
