"dt_sin_pri","n.casos"
2020-01-20,1
2020-02-20,1
2020-02-22,1
2020-02-28,1
2020-02-29,1
2020-03-01,3
2020-03-02,2
2020-03-03,1
2020-03-04,1
2020-03-05,3
2020-03-08,2
2020-03-09,3
2020-03-10,5
2020-03-11,6
2020-03-12,8
2020-03-13,12
2020-03-14,9
2020-03-15,13
2020-03-16,18
2020-03-17,25
2020-03-18,26
2020-03-19,17
2020-03-20,41
2020-03-21,34
2020-03-22,24
2020-03-23,58
2020-03-24,40
2020-03-25,46
2020-03-26,39
2020-03-27,50
2020-03-28,59
2020-03-29,51
2020-03-30,71
2020-03-31,58
2020-04-01,97
2020-04-02,67
2020-04-03,87
2020-04-04,84
2020-04-05,64
2020-04-06,67
2020-04-07,77
2020-04-08,69
2020-04-09,67
2020-04-10,73
2020-04-11,53
2020-04-12,80
2020-04-13,73
2020-04-14,63
2020-04-15,65
2020-04-16,52
2020-04-17,38
2020-04-18,50
2020-04-19,32
2020-04-20,43
2020-04-21,26
2020-04-22,24
2020-04-23,16
2020-04-24,12
2020-04-25,13
2020-04-26,7
2020-04-27,8
2020-04-28,2
2020-04-30,1
