"dt_sin_pri","n.casos"
2019-12-29,2
2019-12-30,2
2019-12-31,4
2020-01-01,3
2020-01-02,2
2020-01-03,2
2020-01-04,4
2020-01-05,3
2020-01-06,3
2020-01-08,4
2020-01-09,2
2020-01-10,5
2020-01-13,2
2020-01-14,3
2020-01-15,2
2020-01-16,4
2020-01-17,3
2020-01-18,6
2020-01-19,1
2020-01-20,1
2020-01-21,1
2020-01-22,2
2020-01-23,3
2020-01-24,3
2020-01-25,4
2020-01-26,1
2020-01-27,1
2020-01-28,1
2020-01-29,3
2020-01-30,3
2020-01-31,2
2020-02-02,2
2020-02-03,1
2020-02-05,1
2020-02-06,2
2020-02-08,1
2020-02-09,3
2020-02-10,2
2020-02-11,3
2020-02-12,2
2020-02-13,3
2020-02-14,4
2020-02-15,2
2020-02-17,5
2020-02-18,3
2020-02-19,1
2020-02-20,10
2020-02-22,5
2020-02-23,4
2020-02-24,8
2020-02-25,10
2020-02-26,7
2020-02-27,4
2020-02-28,4
2020-02-29,5
2020-03-01,19
2020-03-02,12
2020-03-03,6
2020-03-04,13
2020-03-05,16
2020-03-06,10
2020-03-07,19
2020-03-08,15
2020-03-09,23
2020-03-10,49
2020-03-11,46
2020-03-12,56
2020-03-13,69
2020-03-14,82
2020-03-15,100
2020-03-16,114
2020-03-17,121
2020-03-18,120
2020-03-19,118
2020-03-20,169
2020-03-21,135
2020-03-22,110
2020-03-23,208
2020-03-24,143
2020-03-25,168
2020-03-26,123
2020-03-27,158
2020-03-28,162
2020-03-29,146
2020-03-30,208
2020-03-31,160
2020-04-01,286
2020-04-02,217
2020-04-03,203
2020-04-04,229
2020-04-05,231
2020-04-06,225
2020-04-07,273
2020-04-08,255
2020-04-09,272
2020-04-10,333
2020-04-11,271
2020-04-12,315
2020-04-13,365
2020-04-14,349
2020-04-15,365
2020-04-16,308
2020-04-17,285
2020-04-18,330
2020-04-19,257
2020-04-20,364
2020-04-21,245
2020-04-22,230
2020-04-23,202
2020-04-24,159
2020-04-25,141
2020-04-26,115
2020-04-27,112
2020-04-28,68
2020-04-29,36
2020-04-30,29
2020-05-01,10
2020-05-02,6
2020-05-03,2
