"dt_notific","n.notific"
2020-03-05,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,2
2020-03-14,2
2020-03-16,3
2020-03-17,2
2020-03-18,7
2020-03-19,5
2020-03-20,12
2020-03-21,5
2020-03-22,5
2020-03-23,26
2020-03-24,20
2020-03-25,26
2020-03-26,30
2020-03-27,35
2020-03-28,25
2020-03-29,24
2020-03-30,69
2020-03-31,64
2020-04-01,57
2020-04-02,54
2020-04-03,55
2020-04-04,37
2020-04-05,35
2020-04-06,109
2020-04-07,86
2020-04-08,117
2020-04-09,77
2020-04-10,42
2020-04-11,53
2020-04-12,43
2020-04-13,116
2020-04-14,91
2020-04-15,94
2020-04-16,80
2020-04-17,90
2020-04-18,30
2020-04-19,41
2020-04-20,107
2020-04-21,25
2020-04-22,74
2020-04-23,37
2020-04-24,65
2020-04-25,8
2020-04-26,9
2020-04-27,44
2020-04-28,41
2020-04-29,27
2020-04-30,23
2020-05-01,2
2020-05-02,4
