"dt_notific","n.notific"
2020-01-01,1
2020-01-02,2
2020-01-03,3
2020-01-04,1
2020-01-05,2
2020-01-06,1
2020-01-07,1
2020-01-08,2
2020-01-09,3
2020-01-10,5
2020-01-11,1
2020-01-13,4
2020-01-14,1
2020-01-15,4
2020-01-16,2
2020-01-17,2
2020-01-20,1
2020-01-21,7
2020-01-22,3
2020-01-23,2
2020-01-26,1
2020-01-27,3
2020-01-28,2
2020-01-29,5
2020-01-30,3
2020-01-31,1
2020-02-02,1
2020-02-03,2
2020-02-05,2
2020-02-06,2
2020-02-09,2
2020-02-10,2
2020-02-11,2
2020-02-12,1
2020-02-13,4
2020-02-17,4
2020-02-18,3
2020-02-19,1
2020-02-20,2
2020-02-21,1
2020-02-23,1
2020-02-25,1
2020-02-26,5
2020-02-27,11
2020-02-28,9
2020-02-29,3
2020-03-01,3
2020-03-02,5
2020-03-03,4
2020-03-04,10
2020-03-05,12
2020-03-06,3
2020-03-07,1
2020-03-08,2
2020-03-09,3
2020-03-10,6
2020-03-11,10
2020-03-12,6
2020-03-13,27
2020-03-14,8
2020-03-15,13
2020-03-16,50
2020-03-17,81
2020-03-18,94
2020-03-19,77
2020-03-20,107
2020-03-21,45
2020-03-22,51
2020-03-23,160
2020-03-24,127
2020-03-25,125
2020-03-26,131
2020-03-27,139
2020-03-28,85
2020-03-29,70
2020-03-30,214
2020-03-31,180
2020-04-01,158
2020-04-02,203
2020-04-03,174
2020-04-04,113
2020-04-05,113
2020-04-06,298
2020-04-07,236
2020-04-08,281
2020-04-09,226
2020-04-10,131
2020-04-11,162
2020-04-12,125
2020-04-13,376
2020-04-14,326
2020-04-15,427
2020-04-16,351
2020-04-17,400
2020-04-18,200
2020-04-19,193
2020-04-20,529
2020-04-21,237
2020-04-22,465
2020-04-23,293
2020-04-24,467
2020-04-25,170
2020-04-26,130
2020-04-27,474
2020-04-28,352
2020-04-29,277
2020-04-30,172
2020-05-01,52
2020-05-02,40
2020-05-03,27
2020-05-04,11
