"estimate","lower","upper","onset_date","n.reported"
39,39,39,2020-03-20,39
33,32,37,2020-03-21,32
19,18,24,2020-03-22,18
58,55,64,2020-03-23,55
38,34,44,2020-03-24,34
47,43,54,2020-03-25,42
43,38,51,2020-03-26,36
54,48,64,2020-03-27,45
67,60,78,2020-03-28,55
54,47,65,2020-03-29,41
78,69,91,2020-03-30,61
70,61,84,2020-03-31,51
103,92,119,2020-04-01,79
71,60,86,2020-04-02,47
105,93,123,2020-04-03,74
105,91,123.025,2020-04-04,70
82,69,99,2020-04-05,48
97,82,115,2020-04-06,57
102,87,122,2020-04-07,59
88,71,108,2020-04-08,43
103,85,125,2020-04-09,50
121,101,146,2020-04-10,59
102,82,128,2020-04-11,39
135,111,164,2020-04-12,56
142,117,174,2020-04-13,54
127,101,160,2020-04-14,38
139,110,175,2020-04-15,40
137,107,175,2020-04-16,33
125,94,164,2020-04-17,21
142,107,187,2020-04-18,26
130,94,175,2020-04-19,14
142,102,194,2020-04-20,16
141,98,200,2020-04-21,11
145,99,213,2020-04-22,11
135,86,206,2020-04-23,5
131,78,209,2020-04-24,3
126,68,212,2020-04-25,1
124,62,223.025,2020-04-26,NA
125,56,239,2020-04-27,NA
125,52,257,2020-04-28,NA
