"estimate","lower","upper","onset_date","n.reported"
4,4,4,2020-03-24,4
5,5,5,2020-03-25,5
3,3,3,2020-03-26,3
3,3,3,2020-03-27,3
8,8,8,2020-03-28,8
7,7,7,2020-03-29,7
12,12,12,2020-03-30,12
12,12,12,2020-03-31,12
16,16,16,2020-04-01,16
17,17,17,2020-04-02,17
16,16,16,2020-04-03,16
19,19,19,2020-04-04,19
15,15,16,2020-04-05,15
23,23,25,2020-04-06,23
22,22,24,2020-04-07,22
22,22,24,2020-04-08,22
23,23,26,2020-04-09,23
36,36,39,2020-04-10,36
28,28,32,2020-04-11,28
43,41,47,2020-04-12,41
40,37,45,2020-04-13,37
36,33,42,2020-04-14,33
39,36,45,2020-04-15,35
43,39,49.0249999999996,2020-04-16,38
31,26,37,2020-04-17,25
48,43,55,2020-04-18,40
49,43,58,2020-04-19,38
64,56,74,2020-04-20,49
46,38,56,2020-04-21,31
44,36,54,2020-04-22,28
37,29,48,2020-04-23,20
45,35,58,2020-04-24,24
54,43,68,2020-04-25,27
52,40,68,2020-04-26,23
40,28,56,2020-04-27,12
46,33,63,2020-04-28,15
46,32,65,2020-04-29,13
45,30,67,2020-04-30,10
46,28,70,2020-05-01,7
44,25,75,2020-05-02,3
