"estimate","lower","upper","onset_date","n.reported"
200,200,200,2020-03-23,200
142,140,147,2020-03-24,140
165,161,172,2020-03-25,160
123,118,130,2020-03-26,116
168,160,178,2020-03-27,152
178,169,190,2020-03-28,157
164,154,176,2020-03-29,140
241,228,258,2020-03-30,204
186,173,201,2020-03-31,149
345,326.975,366,2020-04-01,279
266,249,285,2020-04-02,206
258,240,279,2020-04-03,195
292,271,314.025,2020-04-04,215
315,292,340,2020-04-05,224
316,292,343,2020-04-06,216
390,362,421,2020-04-07,262
377,347,409,2020-04-08,241
427,393,463,2020-04-09,262
545,505,589,2020-04-10,325
469,430,512,2020-04-11,263
548,503,596,2020-04-12,295
668,615,727,2020-04-13,346
686,628,746,2020-04-14,336
754,692,821,2020-04-15,349
690,626,756,2020-04-16,297
675,611,744,2020-04-17,266
813,738,897,2020-04-18,303
737,659,820,2020-04-19,238
1071,967,1185,2020-04-20,332
826,729,929,2020-04-21,211
904,799,1020,2020-04-22,208
876,761,1002,2020-04-23,166
839,719,974,2020-04-24,129
895.5,760,1055,2020-04-25,111
917,763,1094,2020-04-26,81
1088,895,1338,2020-04-27,81
823,631.975,1053,2020-04-28,32
686,478,953.025,2020-04-29,12
664,402,1026,2020-04-30,5
649,341,1158,2020-05-01,NA
