"dt_evoluca","n.casos"
2020-01-08,1
2020-03-22,1
2020-03-25,2
2020-03-26,2
2020-03-27,1
2020-03-28,4
2020-03-29,2
2020-03-30,1
2020-03-31,2
2020-04-01,3
2020-04-02,1
2020-04-03,3
2020-04-04,1
2020-04-05,2
2020-04-07,2
2020-04-08,5
2020-04-09,5
2020-04-10,2
2020-04-11,4
2020-04-12,2
2020-04-14,4
2020-04-15,1
2020-04-16,1
2020-04-17,1
2020-04-18,1
2020-04-19,2
2020-04-20,2
2020-04-21,5
2020-04-22,3
2020-04-23,1
2020-04-24,3
2020-04-25,3
2020-04-27,2
2020-04-28,4
2020-04-29,5
2020-05-02,2
2020-05-03,1
