"dt_sin_pri","n.casos"
2020-03-01,1
2020-03-08,1
2020-03-11,1
2020-03-13,1
2020-03-14,3
2020-03-16,1
2020-03-17,1
2020-03-18,3
2020-03-19,4
2020-03-20,8
2020-03-21,6
2020-03-22,1
2020-03-23,2
2020-03-24,7
2020-03-26,4
2020-03-27,2
2020-03-28,4
2020-03-29,2
2020-03-30,4
2020-03-31,6
2020-04-01,3
2020-04-02,2
2020-04-03,5
2020-04-04,4
2020-04-05,1
2020-04-06,6
2020-04-07,4
2020-04-08,4
2020-04-09,4
2020-04-10,5
2020-04-11,5
2020-04-12,3
2020-04-13,7
2020-04-14,5
2020-04-15,3
2020-04-16,4
2020-04-17,2
2020-04-18,2
2020-04-19,7
2020-04-20,3
2020-04-21,2
2020-04-22,3
2020-04-23,1
2020-04-24,1
2020-04-25,2
2020-04-29,1
