"dt_notific","n.notific"
2020-03-09,1
2020-03-19,1
2020-03-21,1
2020-03-22,1
2020-03-23,3
2020-03-24,2
2020-03-25,3
2020-03-26,3
2020-03-27,8
2020-03-28,3
2020-03-29,1
2020-03-30,3
2020-04-01,3
2020-04-02,2
2020-04-03,10
2020-04-04,3
2020-04-05,1
2020-04-06,6
2020-04-07,2
2020-04-08,8
2020-04-09,6
2020-04-10,1
2020-04-11,2
2020-04-13,6
2020-04-14,5
2020-04-15,4
2020-04-16,7
2020-04-17,3
2020-04-18,6
2020-04-19,3
2020-04-20,8
2020-04-21,5
2020-04-22,1
2020-04-23,7
2020-04-24,5
2020-04-25,2
2020-04-26,1
2020-04-27,5
2020-04-28,2
2020-04-29,1
2020-04-30,2
2020-05-01,2
2020-05-02,1
2020-05-04,1
