"dt_notific","n.notific"
2020-01-08,1
2020-03-10,1
2020-03-19,1
2020-03-21,2
2020-03-23,4
2020-03-24,4
2020-03-25,1
2020-03-26,3
2020-03-28,1
2020-03-30,4
2020-03-31,2
2020-04-01,3
2020-04-02,1
2020-04-03,4
2020-04-04,1
2020-04-05,1
2020-04-06,3
2020-04-07,2
2020-04-08,4
2020-04-09,3
2020-04-10,3
2020-04-11,2
2020-04-13,2
2020-04-14,3
2020-04-15,1
2020-04-16,2
2020-04-17,1
2020-04-18,3
2020-04-19,2
2020-04-20,4
2020-04-21,2
2020-04-23,4
2020-04-24,3
2020-04-25,1
2020-04-27,2
2020-04-28,1
2020-04-29,3
2020-05-02,1
2020-05-03,1
